"","features","scaled_coefs"
"1","class_LTR_pc_1",0.186955774675223
"2","class_Satellite_pc_1",0.443132782194813
"3","class_SINE_pc_1",0.421507268628146
"4","H3K27me3_pc_1",-0.458494144194659
"5","H3K9me3_pc_1",0.613222107193243
"6","H4K20me1_pc_1",0.697130835673561
"7","H4K20me1_pc_2",0.0632877855272559
"8","ratio_pc_1",-0.725947968943528
"9","ratio_pc_2",1.95736004992219
"10","states_1_5_pc_1",-1.11535101168764
"11","states_10_13_pc_1",0.104616034984083
"12","states_7_9_pc_1",-0.675440857112833
"13","zscore_10p",-1.81762376474639
"14","zscore_11p",0.924435675728995
"15","zscore_11q",0.609261137281673
"16","zscore_12p",1.01919365151418
"17","zscore_14q",-0.305976558692802
"18","zscore_16p",0.10071553447064
"19","zscore_16q",-0.619521219812569
"20","zscore_17q",0.566305669568917
"21","zscore_18p",0.337844815593592
"22","zscore_18q",-0.0514391132312464
"23","zscore_19p",0.458089385384623
"24","zscore_19q",-0.300839376960472
"25","zscore_1p",0.71772205387311
"26","zscore_1q",0.108486896148044
"27","zscore_20q",0.166262091450395
"28","zscore_21q",-0.511750656815734
"29","zscore_22q",-0.37670414778777
"30","zscore_2p",0.113295466231576
"31","zscore_2q",0.0724828216520157
"32","zscore_3p",-0.834778829044603
"33","zscore_4p",-0.0634481301585944
"34","zscore_5p",0.596410571737943
"35","zscore_5q",0.00314739343875796
"36","zscore_6p",-1.43625110750902
"37","zscore_8p",0.418903228822887
"38","zscore_8q",-0.00690856257718589
"39","zscore_9p",-0.0231712241605762
"40","zscore_9q",-1.1679890885248
