"","bin","state","type","dis_sd","dis_var","h_sd","h_var","bin2","f","cf"
"1","states_7_9_10","3' Transcription","No Known Liver Disease",0.156097634020576,0.0243664713468216,0.196498756917553,0.0386117614701437,1,0.631063448521061,1.22393322372453
"2","states_7_9_103","3' Transcription","No Known Liver Disease",0.20569780560231,0.0423115872296055,0.25355697372276,0.0642911389234443,2,0.658124711089482,1.22393322372453
"3","states_7_9_139","3' Transcription","No Known Liver Disease",0.24683358741315,0.0609268198752452,0.235457203633666,0.0554400947429856,3,1.09896673441298,1.22393322372453
"4","states_7_9_15","3' Transcription","No Known Liver Disease",0.17938346480317,0.0321784274447902,0.184466752721028,0.0340279828594408,4,0.945646046011881,1.22393322372453
"5","states_7_9_154","3' Transcription","No Known Liver Disease",0.147167799372892,0.0216583611722597,0.187121414986275,0.0350144239464657,5,0.618555404634778,1.22393322372453
"6","states_7_9_159","3' Transcription","No Known Liver Disease",0.172264762497606,0.0296751483983565,0.216123952355505,0.0467095627817646,6,0.635312056698199,1.22393322372453
"7","states_7_9_165","3' Transcription","No Known Liver Disease",0.166771478430494,0.0278127260178929,0.165616274175234,0.0274287502716863,7,1.01399902446897,1.22393322372453
"8","states_7_9_17","3' Transcription","No Known Liver Disease",0.166374285135618,0.0276804027543878,0.180639166057558,0.03263050831397,8,0.848298239428195,1.22393322372453
"9","states_7_9_173","3' Transcription","No Known Liver Disease",0.18673841533917,0.0348712357633845,0.157559744346562,0.024825073038554,9,1.40467807322172,1.22393322372453
"10","states_7_9_176","3' Transcription","No Known Liver Disease",0.155308007458996,0.0241205771808835,0.214459436670134,0.0459928499768711,10,0.524441890272364,1.22393322372453
"11","states_7_9_179","3' Transcription","No Known Liver Disease",0.256480371714536,0.0657821810748264,0.280682483785147,0.0787826567037993,11,0.834983025796515,1.22393322372453
"12","states_7_9_188","3' Transcription","No Known Liver Disease",0.17269194470813,0.0298225077670759,0.202974220462477,0.0411985341723502,12,0.723873030101418,1.22393322372453
"13","states_7_9_2","3' Transcription","No Known Liver Disease",0.183510996926844,0.0336762859930842,0.176322575990254,0.0310896508038389,13,1.08319923583464,1.22393322372453
"14","states_7_9_201","3' Transcription","No Known Liver Disease",0.180059953666333,0.032421586914322,0.15332302765236,0.0235079508084863,14,1.37917537680987,1.22393322372453
"15","states_7_9_215","3' Transcription","No Known Liver Disease",0.213228011321518,0.0454661848121294,0.23480996431452,0.0551357193413864,15,0.824623045735821,1.22393322372453
"16","states_7_9_223","3' Transcription","No Known Liver Disease",0.207769245687976,0.0431680594537504,0.243015445555941,0.0590565067787523,16,0.730961951669001,1.22393322372453
"17","states_7_9_230","3' Transcription","No Known Liver Disease",0.190838233380093,0.0364192313196348,0.228376709921635,0.0521559216346307,17,0.69827605721865,1.22393322372453
"18","states_7_9_236","3' Transcription","No Known Liver Disease",0.171888722081809,0.0295457327789174,0.24408468690025,0.0595773343791933,18,0.495922368578409,1.22393322372453
"19","states_7_9_252","3' Transcription","No Known Liver Disease",0.168521290803909,0.0283994254542158,0.18969817998233,0.0359853994886084,19,0.789193002100922,1.22393322372453
"20","states_7_9_259","3' Transcription","No Known Liver Disease",0.188270814995485,0.0354458997790641,0.192330065242753,0.0369908539962816,20,0.958234156546567,1.22393322372453
"21","states_7_9_26","3' Transcription","No Known Liver Disease",0.16073479693153,0.0258356749446203,0.164105323361606,0.0269305571556172,21,0.959344242130968,1.22393322372453
"22","states_7_9_267","3' Transcription","No Known Liver Disease",0.19014501443635,0.0361551265149997,0.168832484553384,0.0285044078404685,22,1.26840475751506,1.22393322372453
"23","states_7_9_285","3' Transcription","No Known Liver Disease",0.273516094034007,0.0748110536956199,0.30235750066851,0.0914200582105083,23,0.818322096485175,1.22393322372453
"24","states_7_9_291","3' Transcription","No Known Liver Disease",0.179749895591118,0.032310024965018,0.186518142746336,0.0347890175735427,24,0.92874209214778,1.22393322372453
"25","states_7_9_296","3' Transcription","No Known Liver Disease",0.201033966994083,0.0404146558853781,0.225884246172648,0.0510236926689855,25,0.792076264404595,1.22393322372453
"26","states_7_9_297","3' Transcription","No Known Liver Disease",0.170080265730471,0.0289272967909475,0.231721695048872,0.0536949439563227,26,0.538734090391788,1.22393322372453
"27","states_7_9_298","3' Transcription","No Known Liver Disease",0.181056902755966,0.0327816020355832,0.171334614832763,0.0293555502398912,27,1.11670882568014,1.22393322372453
"28","states_7_9_3","3' Transcription","No Known Liver Disease",0.222197322728351,0.0493716502276471,0.192617924349809,0.0371016647808288,28,1.3307125305374,1.22393322372453
"29","states_7_9_311","3' Transcription","No Known Liver Disease",0.215320649857131,0.0463629822548974,0.200512238354393,0.040205157729889,29,1.15316006384998,1.22393322372453
"30","states_7_9_312","3' Transcription","No Known Liver Disease",0.183898622515238,0.0338187033630019,0.201224745254999,0.0404913981029394,30,0.835207104408353,1.22393322372453
"31","states_7_9_313","3' Transcription","No Known Liver Disease",0.178401582226424,0.0318271245408916,0.200871741996577,0.0403494567327394,31,0.788786940842926,1.22393322372453
"32","states_7_9_318","3' Transcription","No Known Liver Disease",0.193460954819296,0.0374271410395935,0.268141392463724,0.071899806352385,32,0.520545783616731,1.22393322372453
"33","states_7_9_322","3' Transcription","No Known Liver Disease",0.229537915299863,0.0526876545602069,0.200038584830036,0.0400154354208035,33,1.31668327499481,1.22393322372453
"34","states_7_9_333","3' Transcription","No Known Liver Disease",0.165400918566685,0.027357463862703,0.164731070928738,0.0271363257293289,34,1.00814915532706,1.22393322372453
"35","states_7_9_334","3' Transcription","No Known Liver Disease",0.174907147994545,0.0305925104195857,0.178069515016072,0.0317087521780591,35,0.964797045553694,1.22393322372453
"36","states_7_9_357","3' Transcription","No Known Liver Disease",0.202521815475217,0.0410150857433779,0.178551538359288,0.0318806518504683,36,1.28651967142182,1.22393322372453
"37","states_7_9_370","3' Transcription","No Known Liver Disease",0.158576102081271,0.0251463801512896,0.150569378893061,0.0226711378602421,37,1.1091803290292,1.22393322372453
"38","states_7_9_378","3' Transcription","No Known Liver Disease",0.227841813815304,0.0519118921226475,0.179752533392385,0.0323109732609803,38,1.60663350197928,1.22393322372453
"39","states_7_9_393","3' Transcription","No Known Liver Disease",0.164965645171259,0.0272136640867698,0.183533666110586,0.0336846065959921,39,0.807896153075683,1.22393322372453
"40","states_7_9_398","3' Transcription","No Known Liver Disease",0.182464529421749,0.0332933044971004,0.218435781686817,0.047714190721131,40,0.697765255868752,1.22393322372453
"41","states_7_9_399","3' Transcription","No Known Liver Disease",0.195233851273099,0.0381162566829266,0.190170108651309,0.0361646702244507,41,1.05396389477254,1.22393322372453
"42","states_7_9_4","3' Transcription","No Known Liver Disease",0.204768882684916,0.041930295316029,0.199367602018804,0.0397474407347283,42,1.05491811651142,1.22393322372453
"43","states_7_9_400","3' Transcription","No Known Liver Disease",0.162577778461933,0.0264315340496174,0.241560764967508,0.0583516031716877,43,0.452970143285489,1.22393322372453
"44","states_7_9_418","3' Transcription","No Known Liver Disease",0.168420469897967,0.028365454680652,0.221271143572392,0.0489609189778339,44,0.579348902611364,1.22393322372453
"45","states_7_9_419","3' Transcription","No Known Liver Disease",0.184645446633425,0.0340939409624569,0.202477779238394,0.040997251085312,45,0.831615292730484,1.22393322372453
"46","states_7_9_422","3' Transcription","No Known Liver Disease",0.167331446121076,0.0279998128609705,0.21263062634285,0.0452117832589527,46,0.619303439118961,1.22393322372453
"47","states_7_9_424","3' Transcription","No Known Liver Disease",0.185774438425713,0.0345121419723889,0.18965642247939,0.0359695585876807,47,0.95948194327325,1.22393322372453
"48","states_7_9_430","3' Transcription","No Known Liver Disease",0.147997995446698,0.0219034066562407,0.184350463533349,0.0339850934049607,48,0.644500410672507,1.22393322372453
"49","states_7_9_437","3' Transcription","No Known Liver Disease",0.153425737139213,0.0235394568167108,0.210993210689467,0.04451813495705,49,0.52876107319907,1.22393322372453
"50","states_7_9_447","3' Transcription","No Known Liver Disease",0.196896991925034,0.038768425429127,0.180405585148443,0.0325461751527521,50,1.1911822279322,1.22393322372453
"51","states_7_9_448","3' Transcription","No Known Liver Disease",0.18266151964612,0.0333652307594297,0.174192953784876,0.0303431851482999,51,1.0995955301449,1.22393322372453
"52","states_7_9_451","3' Transcription","No Known Liver Disease",0.165247875046317,0.0273068602073231,0.166683465558567,0.0277833776906139,52,0.982848828223942,1.22393322372453
"53","states_7_9_456","3' Transcription","No Known Liver Disease",0.242304359047137,0.0587114024132439,0.185147588311686,0.0342796294576337,53,1.71271986722626,1.22393322372453
"54","states_7_9_46","3' Transcription","No Known Liver Disease",0.151235620386961,0.0228722128738289,0.139989405296737,0.0195970335953342,54,1.16712627768697,1.22393322372453
