"","bin","arm","sd","dx","f"
"594","428","17q",NA,"fake",FALSE
"595","429","17q",NA,"fake",FALSE
"596","430","17q",NA,"fake",FALSE
"597","431","17q",0.0461288070331182,"Diabetes",TRUE
"598","431","17q",0.0405746653981712,"Prior Cancer",TRUE
"599","432","18p",NA,"fake",FALSE
"600","433","18p",NA,"fake",FALSE
"601","434","18q",NA,"fake",FALSE
"602","435","18q",NA,"fake",FALSE
"603","436","18q",NA,"fake",FALSE
"604","437","18q",NA,"fake",FALSE
"605","438","18q",NA,"fake",FALSE
"606","439","18q",NA,"fake",FALSE
"607","440","18q",NA,"fake",FALSE
"608","441","18q",NA,"fake",FALSE
"609","442","18q",NA,"fake",FALSE
"610","443","18q",NA,"fake",FALSE
"611","444","18q",NA,"fake",FALSE
"612","445","19p",0.0458714222048162,"Diabetes",TRUE
"613","445","19p",0.0292820268004454,"Cerebral vascular disease",TRUE
"614","445","19p",0.040897554859963,"Prior Cancer",TRUE
"615","445","19p",0.046033745724485,"CV disease",TRUE
"616","446","19p",0.0476578670098082,"Diabetes",TRUE
"617","446","19p",0.0795542978784751,"Mild Chronic Liver Disease",TRUE
"618","446","19p",0.023684912657019,"Dementia",TRUE
"619","446","19p",0.0485583432910175,"Heart insufficient",TRUE
"620","446","19p",0.0309832689061703,"Cerebral vascular disease",TRUE
"621","446","19p",0.0428241400000881,"Prior Cancer",TRUE
"622","446","19p",0.0479055751322419,"CV disease",TRUE
"623","447","19p",0.0474540335657565,"Diabetes",TRUE
"624","447","19p",0.0214973661772855,"Dementia",TRUE
"625","447","19p",0.0471453402107496,"Heart insufficient",TRUE
"626","447","19p",0.0312209378351978,"Cerebral vascular disease",TRUE
"627","447","19p",0.0423287076309123,"Prior Cancer",TRUE
"628","447","19p",0.0473494660294375,"CV disease",TRUE
"629","448","19q",NA,"fake",FALSE
"630","449","19q",0.0482718272170603,"Diabetes",TRUE
"631","449","19q",0.0217712627003212,"Dementia",TRUE
"632","449","19q",0.0469107664062355,"Heart insufficient",TRUE
"633","449","19q",0.0577338708751918,"Connective tissue disease",TRUE
"634","449","19q",0.0293869602031443,"Cerebral vascular disease",TRUE
"635","449","19q",0.0420639135476265,"Prior Cancer",TRUE
"636","449","19q",0.0480832420988908,"CV disease",TRUE
"637","450","19q",0.0462714118872702,"Diabetes",TRUE
"638","450","19q",0.0459699844713597,"Heart insufficient",TRUE
"639","450","19q",0.0302236427010583,"Cerebral vascular disease",TRUE
"640","450","19q",0.0408912750048139,"Prior Cancer",TRUE
"641","450","19q",0.0457836043680115,"CV disease",TRUE
"642","451","19q",0.0479164089941254,"Diabetes",TRUE
"643","451","19q",0.0463699164212325,"Heart insufficient",TRUE
"644","451","19q",0.0302167292928836,"Cerebral vascular disease",TRUE
"645","451","19q",0.0416366048621542,"Prior Cancer",TRUE
"646","451","19q",0.047130781821732,"CV disease",TRUE
"647","452","19q",0.0456385689505598,"Diabetes",TRUE
"648","452","19q",0.0460387232335742,"Heart insufficient",TRUE
"649","452","19q",0.0295402604077185,"Cerebral vascular disease",TRUE
"650","452","19q",0.0417211681903174,"Prior Cancer",TRUE
"651","452","19q",0.0461081907556158,"CV disease",TRUE
"652","453","20p",NA,"fake",FALSE
"653","454","20p",NA,"fake",FALSE
"654","455","20p",NA,"fake",FALSE
"655","456","20p",NA,"fake",FALSE
"656","457","20q",0.0455645596512475,"Diabetes",TRUE
"657","457","20q",0.0219054955661862,"Dementia",TRUE
"658","457","20q",0.0296767411970078,"Cerebral vascular disease",TRUE
"659","457","20q",0.0400475290114834,"Prior Cancer",TRUE
"660","457","20q",0.0462218118592097,"CV disease",TRUE
"661","458","20q",NA,"fake",FALSE
"662","459","20q",NA,"fake",FALSE
"663","460","20q",0.0292636075517715,"Cerebral vascular disease",TRUE
"664","460","20q",0.0400625347455573,"Prior Cancer",TRUE
"665","460","20q",0.0458778811153482,"CV disease",TRUE
"666","461","20q",NA,"fake",FALSE
"667","462","20q",NA,"fake",FALSE
"668","463","21q",NA,"fake",FALSE
"669","464","21q",NA,"fake",FALSE
"670","465","21q",NA,"fake",FALSE
"671","466","21q",NA,"fake",FALSE
"672","467","21q",NA,"fake",FALSE
"673","468","21q",NA,"fake",FALSE
"674","469","22q",0.0227672047541606,"Dementia",TRUE
"675","470","22q",NA,"fake",FALSE
"676","471","22q",0.0459154244398011,"Diabetes",TRUE
"677","471","22q",0.0414921336522074,"Prior Cancer",TRUE
"678","471","22q",0.0457149672508112,"CV disease",TRUE
"679","472","22q",0.0460206097428434,"Diabetes",TRUE
"680","472","22q",0.0226494121068737,"Dementia",TRUE
"681","472","22q",0.0291982954004055,"Cerebral vascular disease",TRUE
"682","472","22q",0.0403180336802025,"Prior Cancer",TRUE
"683","472","22q",0.0458724121789341,"CV disease",TRUE
"684","473","22q",NA,"fake",FALSE
