"","d","p","lfc","comp","gene"
"1",0.191748791375017,0.113341981217126,0.0533655013477261,"DiscH v. ValH","A1BG-AS1"
"2",0.191748791375017,0.113341981217126,0.0533655013477261,"DiscH v. ValH","A1BG"
"3",-0.142997026878491,0.14032131328961,0.152349466569699,"DiscH v. ValH","A1CF"
"4",-0.0583506967453611,0.678328260436119,0.189262368648499,"DiscH v. ValH","A2M-AS1"
"5",-0.0583506967453611,0.678328260436119,0.189262368648499,"DiscH v. ValH","A2M"
"6",0.000404778919997615,0.960967929421817,0.000234738610407289,"DiscH v. ValH","A2ML1"
"7",0.0364215058008654,0.573403992823726,-0.0357243629488176,"DiscH v. ValH","A2MP1"
"8",-0.053268053573068,0.595821189887938,-0.249298192954546,"DiscH v. ValH","A3GALT2"
"9",0.149947008584392,0.164359219679477,0.048754134586105,"DiscH v. ValH","A4GALT"
"10",0.00757943012992623,0.679052240112954,0.0109721565473133,"DiscH v. ValH","A4GNT"
"11",-0.133910964861748,0.406547138416905,0.0322152212699941,"DiscH v. ValH","AA06"
"12",0.175946636476457,0.121919157337865,0.0343850275922732,"DiscH v. ValH","AAAS"
"13",0.100219799912397,0.285852144666347,-0.100230365982677,"DiscH v. ValH","AACS"
"14",-0.18573734176997,0.119552457293076,-0.0888940941785613,"DiscH v. ValH","AACSP1"
"15",-0.173847434184755,0.142461434227621,-0.155221972579737,"DiscH v. ValH","AADAC"
"16",0.00588412287404503,0.866914563584681,0.010678959419537,"DiscH v. ValH","AADACL2-AS1"
"17",0.105177690327813,0.317293183621526,-0.25479154344903,"DiscH v. ValH","AADACL2"
"18",-0.0519669631990086,0.766394611733989,0.0307728998072703,"DiscH v. ValH","AADACL3"
"19",-0.0519669631990086,0.766394611733989,0.0307728998072703,"DiscH v. ValH","AADACL4"
"20",-0.0676835878597316,0.935778922504932,-0.115556232864157,"DiscH v. ValH","AADACP1"
"21",0.0809935788507939,0.465915247682001,-0.0969862172316754,"DiscH v. ValH","AADAT"
"22",0.0427150997596026,0.880935885234192,-0.0273524987082606,"DiscH v. ValH","AAGAB"
"23",0.236274431040229,0.0461908346245105,0.209426001474209,"DiscH v. ValH","AAK1"
"24",0.26459183148429,0.0315667242468671,0.391662776651945,"DiscH v. ValH","AAMDC"
"25",0.257902496840425,0.0674688446157704,0.058371332170068,"DiscH v. ValH","AAMP"
"26",0.31702538791653,0.00652197784636112,0.114544027417451,"DiscH v. ValH","AANAT"
"27",-0.0275708003147378,0.64890726854268,0.0181193432429599,"DiscH v. ValH","AAR2"
"28",-0.0302800922370574,0.839774268357684,0.0768252903793198,"DiscH v. ValH","AARD"
"29",0.33182716372708,0.0016752583522666,0.0878263414731213,"DiscH v. ValH","AARS1"
"30",0.0840230091610051,0.399872359038985,0.105060271153385,"DiscH v. ValH","AARS2"
"31",0.0586289177373996,0.76941551795297,0.0154918866547584,"DiscH v. ValH","AARSD1"
"32",0.399891047244764,0.000428105274637993,0.173782185304581,"DiscH v. ValH","AASDH"
"33",-0.0828859940988837,0.281854323173826,-0.17971943503801,"DiscH v. ValH","AASDHPPT"
"34",0.14089534882924,0.277019831054223,-2.55130320721581,"DiscH v. ValH","AASS"
"35",0.143366000027429,0.122636264300061,0.055206655533074,"DiscH v. ValH","AATBC"
"36",-0.048081343250544,0.166166573560064,0.145380716839718,"DiscH v. ValH","AATF"
"37",0.329215173238038,0.00326335789892167,0.0895493284270819,"DiscH v. ValH","AATK"
"38",0.121654199062982,0.321618295798092,0.0730353838615037,"DiscH v. ValH","ABALON"
"39",-0.00202641211566825,0.820502373959771,-0.00137323912141864,"DiscH v. ValH","ABAT"
"40",0.0390272532821454,0.812823169912789,-0.469528606088772,"DiscH v. ValH","ABCA1"
"41",0.126319504835557,0.423522383742596,0.0654225096544836,"DiscH v. ValH","ABCA10"
"42",0.122347535688666,0.764131257565449,0.0311093229565054,"DiscH v. ValH","ABCA11P"
"43",0.028992968478327,0.361225091938561,-0.40300157432423,"DiscH v. ValH","ABCA12"
"44",-0.149216960020302,0.262856800297155,0.122744891451091,"DiscH v. ValH","ABCA13"
"45",0.269445122797606,0.00656108658912381,0.0780187928836558,"DiscH v. ValH","ABCA17P"
"46",0.015996652683646,0.960967929421817,0.00332775463063556,"DiscH v. ValH","ABCA2"
"47",0.269882432292473,0.0200800666388042,0.0741788518143862,"DiscH v. ValH","ABCA3"
"48",0.0154504342972589,0.842093606624473,-0.00535932641800781,"DiscH v. ValH","ABCA4"
"49",0.113140563640989,0.174798917424974,0.0620624884728002,"DiscH v. ValH","ABCA5"
"50",0.206744773536603,0.0391267015092914,0.140133962435869,"DiscH v. ValH","ABCA6"
"51",0.170414628707026,0.173545628778441,0.0229829304302852,"DiscH v. ValH","ABCA7"
"52",-0.144754487530368,0.268803105099619,-1.30490846909936,"DiscH v. ValH","ABCA8"
"53",0.120255300319948,0.242762783374677,0.105869132156496,"DiscH v. ValH","ABCA9-AS1"
"54",-0.0124396194715105,0.741611421544138,-0.00816664577277437,"DiscH v. ValH","ABCA9"
"55",0.0240530559444002,0.711192150466491,0.092667741159137,"DiscH v. ValH","ABCB1"
"56",0.177015178786084,0.0923355873247426,0.130909934834817,"DiscH v. ValH","ABCB10"
"57",0.164575935539312,0.187043788234431,-0.401297150578608,"DiscH v. ValH","ABCB11"
"58",-0.0152766700533535,0.736387680481341,0.0207765981676784,"DiscH v. ValH","ABCB4"
"59",0.0734918340220271,0.421806421495411,0.0859871412981189,"DiscH v. ValH","ABCB5"
"60",-0.0260804738652206,0.440319429045316,-0.00785309323929035,"DiscH v. ValH","ABCB6"
"61",-0.137177513808841,0.200605522928011,-0.0507453650279211,"DiscH v. ValH","ABCB8"
"62",0.270325366993362,0.033989643235647,0.10755311368031,"DiscH v. ValH","ABCB9"
"63",0.0276609303712048,0.0214407558283871,0.0186688208183212,"DiscH v. ValH","ABCC1"
"64",0.0994848098889757,0.66966382180021,0.17161214887834,"DiscH v. ValH","ABCC10"
"65",-0.0298823399454141,0.71709338288279,0.0112534105149317,"DiscH v. ValH","ABCC11"
"66",-0.0576712600231356,0.764131257565449,0.0180783504256552,"DiscH v. ValH","ABCC12"
"67",-0.0250118736366873,0.52593117051336,0.196588837978686,"DiscH v. ValH","ABCC13"
"68",0.0372213872013958,0.551394802424778,0.0898060592532878,"DiscH v. ValH","ABCC2"
"69",0.0941498326850386,0.611677733103211,0.0573530187918885,"DiscH v. ValH","ABCC3"
"70",0.0265538663057364,0.0158287790136021,0.137335292858412,"DiscH v. ValH","ABCC4"
"71",0.044215563033924,0.927133748480155,0.0528145777598512,"DiscH v. ValH","ABCC5-AS1"
"72",0.253728419915413,0.0208324628254311,0.359883668736269,"DiscH v. ValH","ABCC5"
"73",-0.0115293562625953,0.202000186575381,-0.00808816789713383,"DiscH v. ValH","ABCC6"
"74",-0.0525229400220145,0.472593321089278,0.0224575175325753,"DiscH v. ValH","ABCC8"
"75",-0.0233707376869919,0.987773436102823,0.0935184279476441,"DiscH v. ValH","ABCC9"
"76",-0.0268633693347769,0.979098092922369,-0.0358525643443284,"DiscH v. ValH","ABCD2"
"77",0.135356790597629,0.209797302972287,0.189436410305794,"DiscH v. ValH","ABCD3"
"78",-0.169191500052268,0.166772334402357,0.341724137881407,"DiscH v. ValH","ABCD4"
"79",0.426051868315206,0.000147059197898015,0.291670288186419,"DiscH v. ValH","ABCE1"
"80",0.261498911209363,0.024342050546068,0.0781127401136414,"DiscH v. ValH","ABCF1"
"81",-0.000710147044634867,0.893430834650358,-0.0108387682705349,"DiscH v. ValH","ABCF2-H2BK1"
"82",-0.000710147044634867,0.893430834650358,-0.0108387682705349,"DiscH v. ValH","ABCF2"
"83",-0.0777429177781721,0.25287571112311,-0.0501801912014636,"DiscH v. ValH","ABCF3"
"84",-0.0833797036706986,0.651042245520098,0.184025913226078,"DiscH v. ValH","ABCG1"
"85",0.1584742631996,0.241966211103456,0.476282579421026,"DiscH v. ValH","ABCG2"
"86",0.184189375465985,0.129989779911679,0.0884865187444269,"DiscH v. ValH","ABCG4"
"87",0.0225597187691564,0.963331789610919,-0.107566426398814,"DiscH v. ValH","ABCG5"
"88",0.0621884794281032,0.672547157007027,-0.172504665288455,"DiscH v. ValH","ABCG8"
"89",-0.172137949477495,0.196121420164084,-0.16403923935835,"DiscH v. ValH","ABHD1"
"90",0.0808202260076342,0.591032748281786,-0.0620982546617515,"DiscH v. ValH","ABHD10"
"91",0.0412885962106035,0.884056969759822,0.0180645344938593,"DiscH v. ValH","ABHD11-AS1"
"92",0.0412885962106035,0.884056969759822,0.0180645344938593,"DiscH v. ValH","ABHD11"
"93",0.359391045804924,0.0010239774437659,0.199852325798333,"DiscH v. ValH","ABHD12"
"94",0.223232923326363,0.0982201753566007,0.134851090657778,"DiscH v. ValH","ABHD12B"
"95",0.0233266382764853,0.953090989854503,0.0282066050138163,"DiscH v. ValH","ABHD13"
"96",0.0325800908713276,0.706042716751425,0.0203109170458561,"DiscH v. ValH","ABHD14A-ACY1"
"97",0.0325800908713276,0.706042716751425,0.0203109170458561,"DiscH v. ValH","ABHD14A"
"98",0.0325800908713276,0.706042716751425,0.0203109170458561,"DiscH v. ValH","ABHD14B"
