"","tool","population","sensitivity","specificity"
"64","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.358953519373528,0.817267164030739
"65","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.538228914018821,0.839742734432359
"66","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.42136843042461,0.780188386132937
"67","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.481184001634475,0.802191516954783
"68","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.641242230294055,0.821399767786083
"69","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.614750795222462,0.77701674381801
"70","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.520481450578064,0.79467961330089
"71","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.427894605381767,0.837647775611006
"72","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.596917633584312,0.859957967914669
"73","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.652724790850106,0.8195061399632
"74","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.711553166287069,0.81641970625974
"75","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.579358510948123,0.820574313658604
"76","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.307273341995754,0.856258320895372
"77","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.492584481115562,0.815295619071888
"78","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.385601838344385,0.824987296545565
"79","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.35340349599068,0.828333932901449
"80","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.299673741691095,0.799167402415392
"81","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.582745058397363,0.83169607339703
"82","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.47630452161233,0.843135557003584
"83","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.501161747753902,0.838918136904342
"84","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.428988981331442,0.802193753578942
"85","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.496041981115565,0.79056348977044
"86","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.503986606598052,0.798012971266965
"87","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.478002498692174,0.82107286923433
"88","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.498728796726125,0.842729061886118
"89","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.56322421395757,0.789562282258021
"90","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.671288593818021,0.836513597508166
"91","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.449874454543186,0.814452941529745
"92","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.467636411846563,0.873889066298677
"93","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.540994624947283,0.827318519570926
"94","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.746943652919354,0.828757844909945
"95","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.5536928857661,0.824485678795898
"96","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.609510310721196,0.824495977803015
"97","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.711760375627624,0.799646791608823
"98","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.580959448607233,0.79156286387647
"99","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.530596411303416,0.804050827875803
"100","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.467237240436181,0.827409591416727
"101","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.536412136002968,0.785181711821861
