"","tool","population","sensitivity","specificity"
"58","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.785129077497809,0.837647775611006
"59","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.809054902462308,0.859957967914669
"60","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752104985832521,0.8195061399632
"61","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.812272799908562,0.81641970625974
"62","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.761731678237806,0.820574313658604
"63","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.795170263827861,0.856258320895372
"64","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.778428634001401,0.815295619071888
"65","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.728237151314887,0.824987296545565
"66","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.737405065572176,0.828333932901449
"67","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.76702845740881,0.799167402415392
"68","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.793368347649097,0.83169607339703
"69","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.743331676413274,0.843135557003584
"70","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.724109989510316,0.838918136904342
"71","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.701132010860987,0.802193753578942
"72","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.749000042722221,0.79056348977044
"73","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.826500990137229,0.798012971266965
"74","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.77516225079872,0.82107286923433
"75","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.804986279942522,0.842729061886118
"76","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.813791610022688,0.789562282258021
"77","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.828619082685813,0.836513597508166
