node
Abcb4
Abcb4
Abcb4
Abhd5
Acot12
Agl
Ahr
Ahr
Aldob
Alms1
Altre
Amfr
Anks6
Asah1
Bcs1l
Bcs1l
Cbs
Ccn1
Cers5
Ces2a
Cyp2c70
Cys1
Cys1
Cys1
Dusp26
Entpd1
F5
Fosl2
Gbe1
Gfer
Glmp
Golga2
Habp2
Hc
Hmox1
Ifng
Ift88
Ift88
Ift88
Ikbkg
Il4ra
Il5
Ilk
Ldlr
Lep
Lepr
Lgals3
Lipa
Lrp6
Ltbp1
Map3k7
Mc4r
Mc4r
Mfsd1
Mir122
Mir122
Mks1
Mrps34
Nadk2
Ncoa5
Neu2
Nfe2l1
Nos2
Nr1h4
Nr1h4
Orm2
Pex1
Pgrmc1
Pkd1
Pkd2
Pkhd1
Pkhd1
Pkhd1
Pkhd1
Pkhd1
Pkhd1
Pkhd1
Pkhd1
Plau
Plau
Plaur
Plg
Plg
Plg
Proc
Ptcd1
Pten
Ptpn11
Pygl
Rassf2
Rbm7
Rela
Relb
Rnf139
Rpgrip1l
Rubcnl
S100a16
Serpine1
Sidt2
Sirt3
Slc25a37
Slc2a9
Smad3
Ssu72
Tet2
Tmem30a
Tnip1
Xylt2
Yap1
Zc3h12a
