"","training","fam","f","type","n","out","perc","c2"
"53","Discovery","LINE","L1M4b#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"54","Discovery","LINE","L1M4b#LINE_L1","No Known Liver Disease",291,5,0.0171821305841924,"FALSE"
"55","Discovery","LINE","L1M4c#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"56","Discovery","LINE","L1M4c#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"57","Discovery","LINE","L1M5#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"58","Discovery","LINE","L1M5#LINE_L1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"59","Discovery","LINE","L1M6#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"60","Discovery","LINE","L1M6#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"61","Discovery","LINE","L1M6B#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"62","Discovery","LINE","L1M6B#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"63","Discovery","LINE","L1M7#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"64","Discovery","LINE","L1M7#LINE_L1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"65","Discovery","LINE","L1M8#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"66","Discovery","LINE","L1M8#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"67","Discovery","LINE","L1MA1#LINE_L1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"68","Discovery","LINE","L1MA1#LINE_L1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"69","Discovery","LINE","L1MA10#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"70","Discovery","LINE","L1MA10#LINE_L1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"71","Discovery","LINE","L1MA2#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"72","Discovery","LINE","L1MA2#LINE_L1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"73","Discovery","LINE","L1MA3#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"74","Discovery","LINE","L1MA3#LINE_L1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"75","Discovery","LINE","L1MA4#LINE_L1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
