"","training","fam","f","type","n","out","perc","c2"
"679","Discovery","LTR","MER11C#LTR_ERVK","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"680","Discovery","LTR","MER11C#LTR_ERVK","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"681","Discovery","LTR","MER11D#LTR_ERVK","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"682","Discovery","LTR","MER11D#LTR_ERVK","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"683","Discovery","LTR","MER21-int#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"684","Discovery","LTR","MER21-int#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"685","Discovery","LTR","MER21A#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"686","Discovery","LTR","MER21A#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"687","Discovery","LTR","MER21B#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"688","Discovery","LTR","MER21B#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"689","Discovery","LTR","MER21C#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"690","Discovery","LTR","MER21C#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"691","Discovery","LTR","MER31-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"692","Discovery","LTR","MER31-int#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"693","Discovery","LTR","MER31A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
"694","Discovery","LTR","MER31A#LTR_ERV1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"695","Discovery","LTR","MER31B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"696","Discovery","LTR","MER31B#LTR_ERV1","No Known Liver Disease",291,15,0.0515463917525773,"FALSE"
"697","Discovery","LTR","MER34#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"698","Discovery","LTR","MER34#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"699","Discovery","LTR","MER34-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"700","Discovery","LTR","MER34-int#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"701","Discovery","LTR","MER34A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"702","Discovery","LTR","MER34A#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"703","Discovery","LTR","MER34A1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"704","Discovery","LTR","MER34A1#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"705","Discovery","LTR","MER34B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"706","Discovery","LTR","MER34B#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"707","Discovery","LTR","MER34B-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"708","Discovery","LTR","MER34B-int#LTR_ERV1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"709","Discovery","LTR","MER34C2#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"710","Discovery","LTR","MER34C2#LTR_ERV1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"711","Discovery","LTR","MER34C_v#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"712","Discovery","LTR","MER34C_v#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"713","Discovery","LTR","MER39#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"714","Discovery","LTR","MER39#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"715","Discovery","LTR","MER39B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"716","Discovery","LTR","MER39B#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"717","Discovery","LTR","MER4-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"718","Discovery","LTR","MER4-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"719","Discovery","LTR","MER41-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
"720","Discovery","LTR","MER41-int#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"721","Discovery","LTR","MER41A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"722","Discovery","LTR","MER41A#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"723","Discovery","LTR","MER41B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"724","Discovery","LTR","MER41B#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"725","Discovery","LTR","MER41C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"726","Discovery","LTR","MER41C#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"727","Discovery","LTR","MER41E#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"728","Discovery","LTR","MER41E#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"729","Discovery","LTR","MER48#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"730","Discovery","LTR","MER48#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"731","Discovery","LTR","MER49#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"732","Discovery","LTR","MER49#LTR_ERV1","No Known Liver Disease",291,15,0.0515463917525773,"FALSE"
"733","Discovery","LTR","MER4A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"734","Discovery","LTR","MER4A#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"735","Discovery","LTR","MER4A1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"736","Discovery","LTR","MER4A1#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"737","Discovery","LTR","MER4B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"738","Discovery","LTR","MER4B#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"739","Discovery","LTR","MER4B-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"740","Discovery","LTR","MER4B-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"741","Discovery","LTR","MER4C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"742","Discovery","LTR","MER4C#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"743","Discovery","LTR","MER4CL34#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"744","Discovery","LTR","MER4CL34#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"745","Discovery","LTR","MER4D#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,1,0.0140845070422535,"FALSE"
"746","Discovery","LTR","MER4D#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"747","Discovery","LTR","MER4D0#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"748","Discovery","LTR","MER4D0#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"749","Discovery","LTR","MER4D1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"750","Discovery","LTR","MER4D1#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"751","Discovery","LTR","MER4E#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"752","Discovery","LTR","MER4E#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"753","Discovery","LTR","MER4E1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"754","Discovery","LTR","MER4E1#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"755","Discovery","LTR","MER50#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"756","Discovery","LTR","MER50#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"757","Discovery","LTR","MER50-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"758","Discovery","LTR","MER50-int#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"759","Discovery","LTR","MER50B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,10,0.140845070422535,"Advanced Fibrosis/Cirrhosis"
"760","Discovery","LTR","MER50B#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"761","Discovery","LTR","MER51-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"762","Discovery","LTR","MER51-int#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"763","Discovery","LTR","MER51A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"764","Discovery","LTR","MER51A#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"765","Discovery","LTR","MER51B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
"766","Discovery","LTR","MER51B#LTR_ERV1","No Known Liver Disease",291,5,0.0171821305841924,"FALSE"
"767","Discovery","LTR","MER52-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"768","Discovery","LTR","MER52-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"769","Discovery","LTR","MER52A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"770","Discovery","LTR","MER52A#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"771","Discovery","LTR","MER52D#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"772","Discovery","LTR","MER52D#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"773","Discovery","LTR","MER54A#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"774","Discovery","LTR","MER54A#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"775","Discovery","LTR","MER54B#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"776","Discovery","LTR","MER54B#LTR_ERVL","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"777","Discovery","LTR","MER57-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"778","Discovery","LTR","MER57-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"779","Discovery","LTR","MER57A-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"780","Discovery","LTR","MER57A-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"781","Discovery","LTR","MER57A1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"782","Discovery","LTR","MER57A1#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"783","Discovery","LTR","MER57B1#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"784","Discovery","LTR","MER57B1#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"785","Discovery","LTR","MER57B2#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"786","Discovery","LTR","MER57B2#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"787","Discovery","LTR","MER57C2#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"788","Discovery","LTR","MER57C2#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"789","Discovery","LTR","MER61-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"790","Discovery","LTR","MER61-int#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"791","Discovery","LTR","MER61A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"792","Discovery","LTR","MER61A#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"793","Discovery","LTR","MER61B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"794","Discovery","LTR","MER61B#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"795","Discovery","LTR","MER61C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"796","Discovery","LTR","MER61C#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"797","Discovery","LTR","MER61D#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"798","Discovery","LTR","MER61D#LTR_ERV1","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"799","Discovery","LTR","MER61F#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"800","Discovery","LTR","MER61F#LTR_ERV1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"801","Discovery","LTR","MER65-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
"802","Discovery","LTR","MER65-int#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"803","Discovery","LTR","MER65A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"804","Discovery","LTR","MER65A#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"805","Discovery","LTR","MER65C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"806","Discovery","LTR","MER65C#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"807","Discovery","LTR","MER66-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"808","Discovery","LTR","MER66-int#LTR_ERV1","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"809","Discovery","LTR","MER66A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"810","Discovery","LTR","MER66A#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"811","Discovery","LTR","MER66B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"812","Discovery","LTR","MER66B#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"813","Discovery","LTR","MER66C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"814","Discovery","LTR","MER66C#LTR_ERV1","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"815","Discovery","LTR","MER67A#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"816","Discovery","LTR","MER67A#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"817","Discovery","LTR","MER67C#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"818","Discovery","LTR","MER67C#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"819","Discovery","LTR","MER67D#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"820","Discovery","LTR","MER67D#LTR_ERV1","No Known Liver Disease",291,15,0.0515463917525773,"FALSE"
"821","Discovery","LTR","MER68#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"822","Discovery","LTR","MER68#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"823","Discovery","LTR","MER68-int#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,9,0.126760563380282,"Advanced Fibrosis/Cirrhosis"
"824","Discovery","LTR","MER68-int#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"825","Discovery","LTR","MER70-int#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"826","Discovery","LTR","MER70-int#LTR_ERVL","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"827","Discovery","LTR","MER70A#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"828","Discovery","LTR","MER70A#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"829","Discovery","LTR","MER70B#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"830","Discovery","LTR","MER70B#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"831","Discovery","LTR","MER72#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"832","Discovery","LTR","MER72#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"833","Discovery","LTR","MER74A#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"834","Discovery","LTR","MER74A#LTR_ERVL","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"835","Discovery","LTR","MER74B#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"836","Discovery","LTR","MER74B#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"837","Discovery","LTR","MER74C#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"838","Discovery","LTR","MER74C#LTR_ERVL","No Known Liver Disease",291,14,0.0481099656357388,"FALSE"
"839","Discovery","LTR","MER76#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"840","Discovery","LTR","MER76#LTR_ERVL","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"841","Discovery","LTR","MER77#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"842","Discovery","LTR","MER77#LTR_ERVL","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"843","Discovery","LTR","MER77B#LTR_ERVL","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"844","Discovery","LTR","MER77B#LTR_ERVL","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"845","Discovery","LTR","MER83B-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"846","Discovery","LTR","MER83B-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"847","Discovery","LTR","MER84#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"848","Discovery","LTR","MER84#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"849","Discovery","LTR","MER89#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"850","Discovery","LTR","MER89#LTR_ERV1","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"851","Discovery","LTR","MER89-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"852","Discovery","LTR","MER89-int#LTR_ERV1","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"853","Discovery","LTR","MER90#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"854","Discovery","LTR","MER90#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"855","Discovery","LTR","MER90a#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,2,0.028169014084507,"FALSE"
"856","Discovery","LTR","MER90a#LTR_ERV1","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"857","Discovery","LTR","MER92-int#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"858","Discovery","LTR","MER92-int#LTR_ERV1","No Known Liver Disease",291,7,0.0240549828178694,"FALSE"
"859","Discovery","LTR","MER92B#LTR_ERV1","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"860","Discovery","LTR","MER92B#LTR_ERV1","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"861","Discovery","LTR","MER9a1#LTR_ERVK","Advanced Fibrosis/Cirrhosis",71,4,0.0563380281690141,"FALSE"
"862","Discovery","LTR","MER9a1#LTR_ERVK","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"863","Discovery","LTR","MER9a2#LTR_ERVK","Advanced Fibrosis/Cirrhosis",71,1,0.0140845070422535,"FALSE"
"864","Discovery","LTR","MER9a2#LTR_ERVK","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"865","Discovery","LTR","MER9a3#LTR_ERVK","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"866","Discovery","LTR","MER9a3#LTR_ERVK","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"867","Discovery","LTR","MLT-int#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"868","Discovery","LTR","MLT-int#LTR_ERVL-MaLR","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"869","Discovery","LTR","MLT1A#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"870","Discovery","LTR","MLT1A#LTR_ERVL-MaLR","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"871","Discovery","LTR","MLT1A0#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"872","Discovery","LTR","MLT1A0#LTR_ERVL-MaLR","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"873","Discovery","LTR","MLT1A1#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,11,0.154929577464789,"Advanced Fibrosis/Cirrhosis"
"874","Discovery","LTR","MLT1A1#LTR_ERVL-MaLR","No Known Liver Disease",291,5,0.0171821305841924,"FALSE"
"875","Discovery","LTR","MLT1B#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,8,0.112676056338028,"Advanced Fibrosis/Cirrhosis"
"876","Discovery","LTR","MLT1B#LTR_ERVL-MaLR","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"877","Discovery","LTR","MLT1C#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"878","Discovery","LTR","MLT1C#LTR_ERVL-MaLR","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"879","Discovery","LTR","MLT1C2#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"880","Discovery","LTR","MLT1C2#LTR_ERVL-MaLR","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"881","Discovery","LTR","MLT1D#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"882","Discovery","LTR","MLT1D#LTR_ERVL-MaLR","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"883","Discovery","LTR","MLT1E#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"884","Discovery","LTR","MLT1E#LTR_ERVL-MaLR","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"885","Discovery","LTR","MLT1E1#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"886","Discovery","LTR","MLT1E1#LTR_ERVL-MaLR","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"887","Discovery","LTR","MLT1E1A#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"888","Discovery","LTR","MLT1E1A#LTR_ERVL-MaLR","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"889","Discovery","LTR","MLT1E2#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"890","Discovery","LTR","MLT1E2#LTR_ERVL-MaLR","No Known Liver Disease",291,11,0.0378006872852234,"FALSE"
"891","Discovery","LTR","MLT1E3#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"892","Discovery","LTR","MLT1E3#LTR_ERVL-MaLR","No Known Liver Disease",291,12,0.0412371134020619,"FALSE"
"893","Discovery","LTR","MLT1F#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,7,0.0985915492957746,"FALSE"
"894","Discovery","LTR","MLT1F#LTR_ERVL-MaLR","No Known Liver Disease",291,8,0.0274914089347079,"FALSE"
"895","Discovery","LTR","MLT1F1#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,3,0.0422535211267606,"FALSE"
"896","Discovery","LTR","MLT1F1#LTR_ERVL-MaLR","No Known Liver Disease",291,13,0.0446735395189003,"FALSE"
"897","Discovery","LTR","MLT1F2#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
"898","Discovery","LTR","MLT1F2#LTR_ERVL-MaLR","No Known Liver Disease",291,9,0.0309278350515464,"FALSE"
"899","Discovery","LTR","MLT1G#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,6,0.0845070422535211,"FALSE"
"900","Discovery","LTR","MLT1G#LTR_ERVL-MaLR","No Known Liver Disease",291,10,0.0343642611683849,"FALSE"
"901","Discovery","LTR","MLT1G1#LTR_ERVL-MaLR","Advanced Fibrosis/Cirrhosis",71,5,0.0704225352112676,"FALSE"
