"","tool","metric","score"
"88","cfDNA Fragmentome LCr Score","fnr",0.508381776395836
"89","cfDNA Fragmentome LCr Score","fnr",0.437981779957954
"90","cfDNA Fragmentome LCr Score","fnr",0.327091657224641
"91","cfDNA Fragmentome LCr Score","fnr",0.548540798094104
"92","cfDNA Fragmentome LCr Score","fnr",0.53963486920098
"93","cfDNA Fragmentome LCr Score","fnr",0.461575934721715
"94","cfDNA Fragmentome LCr Score","fnr",0.253128007699711
"95","cfDNA Fragmentome LCr Score","fnr",0.443809276341432
"96","cfDNA Fragmentome LCr Score","fnr",0.39160620465349
"97","cfDNA Fragmentome LCr Score","fnr",0.287250384024578
"98","cfDNA Fragmentome LCr Score","fnr",0.419392603815164
"99","cfDNA Fragmentome LCr Score","fnr",0.471904872930753
"100","cfDNA Fragmentome LCr Score","fnr",0.530545704152843
"101","cfDNA Fragmentome LCr Score","fnr",0.466599190283401
"102","cfDNA Fragmentome LCr Score","fnr",0.42894869921897
"103","cfDNA Fragmentome LCr Score","fnr",0.45084415188639
"104","cfDNA Fragmentome LCr Score","fnr",0.591558441558442
"105","cfDNA Fragmentome LCr Score","fnr",0.52360664897332
"106","cfDNA Fragmentome LCr Score","fnr",0.37723445969323
"107","cfDNA Fragmentome LCr Score","fnr",0.46629281970011
"108","cfDNA Fragmentome LCr Score","fnr",0.564632761608797
"109","cfDNA Fragmentome LCr Score","fnr",0.591379725499639
"110","cfDNA Fragmentome LCr Score","fnr",0.41222374117111
"111","cfDNA Fragmentome LCr Score","fnr",0.480104592996817
"112","cfDNA Fragmentome LCr Score","fnr",0.571144210309561
"113","cfDNA Fragmentome LCr Score","fnr",0.69040689040689
"114","cfDNA Fragmentome LCr Score","fnr",0.593651644009911
"115","cfDNA Fragmentome LCr Score","fnr",0.591609134360064
"116","cfDNA Fragmentome LCr Score","fnr",0.595019085163632
"117","cfDNA Fragmentome LCr Score","fnr",0.451201114076825
"118","cfDNA Fragmentome LCr Score","fnr",0.43218523878437
"119","cfDNA Fragmentome LCr Score","fnr",0.556910830069975
"120","cfDNA Fragmentome LCr Score","fnr",0.489293963418441
"121","cfDNA Fragmentome LCr Score","fnr",0.623299037504149
"122","cfDNA Fragmentome LCr Score","fnr",0.370218502499579
"123","cfDNA Fragmentome LCr Score","fnr",0.508629691050918
"124","cfDNA Fragmentome LCr Score","fnr",0.434072959759308
"125","cfDNA Fragmentome LCr Score","fnr",0.41621235721703
"126","cfDNA Fragmentome LCr Score","fnr",0.699004501933929
"127","cfDNA Fragmentome LCr Score","fnr",0.436489322305888
"128","cfDNA Fragmentome LCr Score","fnr",0.54795797849195
"129","cfDNA Fragmentome LCr Score","fnr",0.644766397124888
