"","bin","state","type","dis_sd","dis_var","h_sd","h_var","bin2","f","cf"
"1","states_7_9_10","3' Transcription","Advanced Fibrosis/Cirrhosis",0.23715256795513,0.0562413404877128,0.17672855422219,0.0312329818774655,1,1.80070352258907,1.3424240398442
"2","states_7_9_103","3' Transcription","Advanced Fibrosis/Cirrhosis",0.242024668487342,0.0585759401564076,0.227756929979377,0.0518732191536308,2,1.12921351541584,1.3424240398442
"3","states_7_9_139","3' Transcription","Advanced Fibrosis/Cirrhosis",0.32635625666618,0.106508406265161,0.242703103454388,0.0589047964263913,3,1.8081448833841,1.3424240398442
"4","states_7_9_15","3' Transcription","Advanced Fibrosis/Cirrhosis",0.234868718851247,0.0551633150948261,0.181489852825589,0.0329385666786541,4,1.6747333189387,1.3424240398442
"5","states_7_9_154","3' Transcription","Advanced Fibrosis/Cirrhosis",0.307299077318509,0.094432722920807,0.165965346444821,0.0275444962205493,5,3,1.3424240398442
"6","states_7_9_159","3' Transcription","Advanced Fibrosis/Cirrhosis",0.276583743242603,0.0764985670260901,0.192697072600466,0.0371321617887894,6,2.06017003430126,1.3424240398442
"7","states_7_9_165","3' Transcription","Advanced Fibrosis/Cirrhosis",0.197715768629468,0.0390915251647415,0.166293297115063,0.0276534606653986,7,1.41362145005072,1.3424240398442
"8","states_7_9_17","3' Transcription","Advanced Fibrosis/Cirrhosis",0.5,0.251169236142339,0.173550749125493,0.0301198625220197,8,3,1.3424240398442
"9","states_7_9_173","3' Transcription","Advanced Fibrosis/Cirrhosis",0.252429325014554,0.0637205641273034,0.176687420385838,0.031218444522602,9,2.0411191237017,1.3424240398442
"10","states_7_9_176","3' Transcription","Advanced Fibrosis/Cirrhosis",0.202450593037444,0.0409862426212126,0.183552111539823,0.0336913776507275,10,1.21652023393373,1.3424240398442
"11","states_7_9_179","3' Transcription","Advanced Fibrosis/Cirrhosis",0.275560263728759,0.075933458946263,0.267296979830335,0.0714476754264187,11,1.0627841772748,1.3424240398442
"12","states_7_9_188","3' Transcription","Advanced Fibrosis/Cirrhosis",0.221404001622775,0.0490197319345778,0.186638810418757,0.0348340455545286,12,1.40723625850012,1.3424240398442
"13","states_7_9_2","3' Transcription","Advanced Fibrosis/Cirrhosis",0.27691249458419,0.0766805296568391,0.180416734317542,0.0325501980218064,13,2.35576230920219,1.3424240398442
"14","states_7_9_201","3' Transcription","Advanced Fibrosis/Cirrhosis",0.27888203143878,0.0777751874594207,0.168472007541173,0.0283828173249531,14,2.74022083745166,1.3424240398442
"15","states_7_9_215","3' Transcription","Advanced Fibrosis/Cirrhosis",0.33315766273914,0.110994028241806,0.222924027279887,0.049695121938684,15,2.23349946457029,1.3424240398442
"16","states_7_9_223","3' Transcription","Advanced Fibrosis/Cirrhosis",0.240407187872428,0.0577956159807287,0.223697775160771,0.0500406946118789,16,1.15497229662773,1.3424240398442
"17","states_7_9_230","3' Transcription","Advanced Fibrosis/Cirrhosis",0.287023389809615,0.082382426297802,0.208222184550201,0.0433564781388578,17,1.90011804081401,1.3424240398442
"18","states_7_9_236","3' Transcription","Advanced Fibrosis/Cirrhosis",0.205758743393259,0.0423366604827732,0.207402101956504,0.0430156318959762,18,0.98421570523839,1.3424240398442
"19","states_7_9_252","3' Transcription","Advanced Fibrosis/Cirrhosis",0.222213594075524,0.0493788813919617,0.179924391501115,0.0323727866570467,19,1.52532069342919,1.3424240398442
"20","states_7_9_259","3' Transcription","Advanced Fibrosis/Cirrhosis",0.210459390027501,0.0442931548507478,0.190068522356531,0.0361260431907951,20,1.22607268714205,1.3424240398442
"21","states_7_9_26","3' Transcription","Advanced Fibrosis/Cirrhosis",0.231029121646021,0.0533744550485319,0.162004583965493,0.0262454852258324,21,2.03366234570499,1.3424240398442
"22","states_7_9_267","3' Transcription","Advanced Fibrosis/Cirrhosis",0.257198664793434,0.0661511531715252,0.180869855438511,0.0327139046063478,22,2.02211120829304,1.3424240398442
"23","states_7_9_285","3' Transcription","Advanced Fibrosis/Cirrhosis",0.198801228143993,0.0395219283115599,0.286167186157267,0.0818916584331682,23,0.482612381623872,1.3424240398442
"24","states_7_9_291","3' Transcription","Advanced Fibrosis/Cirrhosis",0.208629608286328,0.0435263134537065,0.182628219819287,0.0333530666743619,24,1.30501683334458,1.3424240398442
"25","states_7_9_296","3' Transcription","Advanced Fibrosis/Cirrhosis",0.262594700569884,0.068955976767387,0.212342533999603,0.0450893517453726,25,1.52931843324769,1.3424240398442
"26","states_7_9_297","3' Transcription","Advanced Fibrosis/Cirrhosis",0.2091982160555,0.0437638936008037,0.199832787653063,0.0399331430211942,26,1.09592910273996,1.3424240398442
"27","states_7_9_298","3' Transcription","Advanced Fibrosis/Cirrhosis",0.318993530064818,0.101756872223214,0.181764678629305,0.0330383983972146,27,3,1.3424240398442
"28","states_7_9_3","3' Transcription","Advanced Fibrosis/Cirrhosis",0.334584039136358,0.1119464792448,0.210558803066634,0.0443350095488536,28,2.52501308523334,1.3424240398442
"29","states_7_9_311","3' Transcription","Advanced Fibrosis/Cirrhosis",0.340336426815714,0.115828883417688,0.211025874642022,0.0445319197684305,29,2.60103054213713,1.3424240398442
"30","states_7_9_312","3' Transcription","Advanced Fibrosis/Cirrhosis",0.331146973223584,0.109658317875141,0.191602878439147,0.0367116630261666,30,2.987015810125,1.3424240398442
"31","states_7_9_313","3' Transcription","Advanced Fibrosis/Cirrhosis",0.330017429174544,0.108911503558975,0.188391447047016,0.0354913373204686,31,3,1.3424240398442
"32","states_7_9_318","3' Transcription","Advanced Fibrosis/Cirrhosis",0.329678833205263,0.108688133063584,0.230415794021049,0.0530914381343503,32,2.04718758585035,1.3424240398442
"33","states_7_9_322","3' Transcription","Advanced Fibrosis/Cirrhosis",0.249753208183089,0.0623766649977455,0.217047622226623,0.0471096703142307,33,1.32407347751918,1.3424240398442
"34","states_7_9_333","3' Transcription","Advanced Fibrosis/Cirrhosis",0.179345977364509,0.0321649795968309,0.164858654079376,0.0271783758248632,34,1.18347688633424,1.3424240398442
"35","states_7_9_334","3' Transcription","Advanced Fibrosis/Cirrhosis",0.23740294239158,0.0563601570561798,0.177025582085086,0.0313380567125637,35,1.79845730617957,1.3424240398442
