"","tool","metric","score"
"100","cfDNA Fragmentome LCr Score","fnr",0.2058599695586
"101","cfDNA Fragmentome LCr Score","fnr",0.22178002894356
"102","cfDNA Fragmentome LCr Score","fnr",0.251626898047722
"103","cfDNA Fragmentome LCr Score","fnr",0.217071057192374
"104","cfDNA Fragmentome LCr Score","fnr",0.223615042458552
"105","cfDNA Fragmentome LCr Score","fnr",0.205493387589013
"106","cfDNA Fragmentome LCr Score","fnr",0.267305644302449
"107","cfDNA Fragmentome LCr Score","fnr",0.223239156386789
"108","cfDNA Fragmentome LCr Score","fnr",0.206684594698425
"109","cfDNA Fragmentome LCr Score","fnr",0.169976171564734
"110","cfDNA Fragmentome LCr Score","fnr",0.210831721470019
"111","cfDNA Fragmentome LCr Score","fnr",0.20363780150257
"112","cfDNA Fragmentome LCr Score","fnr",0.183241252302026
"113","cfDNA Fragmentome LCr Score","fnr",0.252648097293056
"114","cfDNA Fragmentome LCr Score","fnr",0.248758465011287
"115","cfDNA Fragmentome LCr Score","fnr",0.210810810810811
"116","cfDNA Fragmentome LCr Score","fnr",0.230152671755725
"117","cfDNA Fragmentome LCr Score","fnr",0.179916317991632
"118","cfDNA Fragmentome LCr Score","fnr",0.259116259116259
"119","cfDNA Fragmentome LCr Score","fnr",0.22564302416212
"120","cfDNA Fragmentome LCr Score","fnr",0.245152951314089
"121","cfDNA Fragmentome LCr Score","fnr",0.254656024325352
"122","cfDNA Fragmentome LCr Score","fnr",0.178438661710037
"123","cfDNA Fragmentome LCr Score","fnr",0.237449118046133
"124","cfDNA Fragmentome LCr Score","fnr",0.206263498920086
"125","cfDNA Fragmentome LCr Score","fnr",0.179962894248609
"126","cfDNA Fragmentome LCr Score","fnr",0.227711738484398
"127","cfDNA Fragmentome LCr Score","fnr",0.197129590544534
"128","cfDNA Fragmentome LCr Score","fnr",0.204738985560903
"129","cfDNA Fragmentome LCr Score","fnr",0.257040856802856
"130","cfDNA Fragmentome LCr Score","fnr",0.29133528673085
"131","cfDNA Fragmentome LCr Score","fnr",0.183760683760684
"132","cfDNA Fragmentome LCr Score","fnr",0.169950738916256
"133","cfDNA Fragmentome LCr Score","fnr",0.154918667699458
"134","cfDNA Fragmentome LCr Score","fnr",0.263177026535805
"135","cfDNA Fragmentome LCr Score","fnr",0.310657596371882
"136","cfDNA Fragmentome LCr Score","fnr",0.193991853360489
"137","cfDNA Fragmentome LCr Score","fnr",0.254112554112554
"138","cfDNA Fragmentome LCr Score","fnr",0.2275
"139","cfDNA Fragmentome LCr Score","fnr",0.222410147991543
"140","cfDNA Fragmentome LCr Score","fnr",0.201229508196721
"141","cfDNA Fragmentome LCr Score","fnr",0.24498506188647
"142","cfDNA Fragmentome LCr Score","fnr",0.222481524698561
"143","cfDNA Fragmentome LCr Score","fnr",0.213524439544285
"144","cfDNA Fragmentome LCr Score","fnr",0.257760314341847
"145","cfDNA Fragmentome LCr Score","fnr",0.227272727272727
"146","cfDNA Fragmentome LCr Score","fnr",0.282764098490866
"147","cfDNA Fragmentome LCr Score","fnr",0.270106761565836
"148","cfDNA Fragmentome LCr Score","fnr",0.238129239557301
"149","cfDNA Fragmentome LCr Score","fnr",0.194444444444444
"150","cfDNA Fragmentome LCr Score","fnr",0.251197213757074
"151","cfDNA Fragmentome LCr Score","fnr",0.178340784898162
"152","cfDNA Fragmentome LCr Score","fnr",0.209274673008323
"153","cfDNA Fragmentome LCr Score","fnr",0.280572597137014
"154","cfDNA Fragmentome LCr Score","fnr",0.172339663203153
"155","cfDNA Fragmentome LCr Score","fnr",0.179530771846311
"156","cfDNA Fragmentome LCr Score","fnr",0.218322698268004
"157","cfDNA Fragmentome LCr Score","fnr",0.219586840091813
"158","cfDNA Fragmentome LCr Score","fnr",0.205714285714286
"159","cfDNA Fragmentome LCr Score","fnr",0.248872858431019
"160","cfDNA Fragmentome LCr Score","fnr",0.249792874896437
"161","cfDNA Fragmentome LCr Score","fnr",0.269604182225541
"162","cfDNA Fragmentome LCr Score","fnr",0.18100428182172
"163","cfDNA Fragmentome LCr Score","fnr",0.190027700831025
"164","cfDNA Fragmentome LCr Score","fnr",0.220463746779536
"165","cfDNA Fragmentome LCr Score","fnr",0.249106078665077
"166","cfDNA Fragmentome LCr Score","fnr",0.215292609995728
"167","cfDNA Fragmentome LCr Score","fnr",0.215734989648033
"168","cfDNA Fragmentome LCr Score","fnr",0.227371156344738
"169","cfDNA Fragmentome LCr Score","fnr",0.273697694278395
"170","cfDNA Fragmentome LCr Score","fnr",0.232374768089054
"171","cfDNA Fragmentome LCr Score","fnr",0.205917632946821
"172","cfDNA Fragmentome LCr Score","fnr",0.250384024577573
"173","cfDNA Fragmentome LCr Score","fnr",0.245461720599842
"174","cfDNA Fragmentome LCr Score","fnr",0.325751734772552
"175","cfDNA Fragmentome LCr Score","fnr",0.219775070290534
"176","cfDNA Fragmentome LCr Score","fnr",0.205791505791506
"177","cfDNA Fragmentome LCr Score","fnr",0.140520446096654
"178","cfDNA Fragmentome LCr Score","fnr",0.261203068227695
"179","cfDNA Fragmentome LCr Score","fnr",0.212489158716392
"180","cfDNA Fragmentome LCr Score","fnr",0.24180790960452
"181","cfDNA Fragmentome LCr Score","fnr",0.199921599372795
"182","cfDNA Fragmentome LCr Score","fnr",0.262062859672421
"183","cfDNA Fragmentome LCr Score","fnr",0.243194192377495
"184","cfDNA Fragmentome LCr Score","fnr",0.157367044463819
"185","cfDNA Fragmentome LCr Score","fnr",0.221655551196548
"186","cfDNA Fragmentome LCr Score","fnr",0.3012
"187","cfDNA Fragmentome LCr Score","fnr",0.188479029813037
"188","cfDNA Fragmentome LCr Score","fnr",0.235555555555556
"189","cfDNA Fragmentome LCr Score","fnr",0.23134328358209
"190","cfDNA Fragmentome LCr Score","fnr",0.204770642201835
"191","cfDNA Fragmentome LCr Score","fnr",0.179950698438784
"192","cfDNA Fragmentome LCr Score","fnr",0.20226917057903
"193","cfDNA Fragmentome LCr Score","fnr",0.251738525730181
"194","cfDNA Fragmentome LCr Score","fnr",0.265578635014837
"195","cfDNA Fragmentome LCr Score","fnr",0.254721549636804
"196","cfDNA Fragmentome LCr Score","fnr",0.228853585229712
"197","cfDNA Fragmentome LCr Score","fnr",0.270568746548868
